Altium Designer Pick and Place Locations
D:\LAB209B3\SpaceLiinTech_Eletroporator\DuAn_HighVoltage_HMI_F7\01_DESIGN\Project Outputs for DuAn_HMI_F7\Pick Place for HMI_F7_V3.txt

========================================================================================================================
File Design Information:

Date:       19/04/26
Time:       13:28
Revision:   9f068d745cdecad23dc4e2d7c8066c9fec0df024
Variant:    No variations
Units used: mm

Designator Comment          Layer       Footprint            Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                  
H8         M3               TopLayer    M3                   161.9000     5.0000       0        ""                                                                                                                                                                           
H7         M3               TopLayer    M3                   83.5000      5.0000       0        ""                                                                                                                                                                           
H6         M3               TopLayer    M3                   161.9000     119.9600     0        ""                                                                                                                                                                           
H5         M3               TopLayer    M3                   161.9000     62.5000      0        ""                                                                                                                                                                           
H4         M3               TopLayer    M3                   83.5000      119.9600     0        ""                                                                                                                                                                           
H3         M3               TopLayer    M3                   5.0000       119.9600     0        ""                                                                                                                                                                           
H2         M3               TopLayer    M3                   5.0000       62.5000      0        ""                                                                                                                                                                           
H1         M3               TopLayer    M3                   5.0000       5.0000       0        ""                                                                                                                                                                           
Display    FFC/FPC_40_0.5   BottomLayer FFC_40_0.5mm         121.6533     67.4845      180      ""                                                                                                                                                                           
J3         8492121          BottomLayer USB-C4               159.9766     101.2160     90       "THT USB 2.0 A Connector WE-EPLE"                                                                                                                                            
U5         LM1117-3.3V/DNP  BottomLayer SOT223               23.7367      70.5917      180      "IC REG LIN 3.3V 800MA SOT-223-4"                                                                                                                                            
U6         TPS54231         BottomLayer HSOP8                11.6397      74.5928      90       "TPS54231 2-A, 28-V Input, Step-Down DC-DC Converter With Eco-mode"                                                                                                          
D2         SK34A            BottomLayer DIO-SMD-A            18.5631      75.8681      270      "DIODE SCHOTTKY 40V 3A DO214AC"                                                                                                                                              
C50        10pF             BottomLayer CN-SMD-0603          10.5559      80.5136      0        "CAP CER 10PF 50V C0G/NP0 0603"                                                                                                                                              
C49        1nF              BottomLayer CN-SMD-0603          7.4874       80.5490      90       "CAP CER 0603 1NF 10V ULTRA STABL"                                                                                                                                           
C48        10nF             BottomLayer CN-SMD-0603          7.4874       74.6904      270      "CAP CER 10000PF 50V X7R 0603"                                                                                                                                               
C47        100nF/25V        BottomLayer CN-SMD-0603          21.5603      83.6144      270      "CAP CER 0.1UF 25V X7R 0603"                                                                                                                                                 
C46        10uF/25V         BottomLayer CN-SMD-0603          19.6809      83.6144      270      "CAP CER 10UF 25V X5R 0603"                                                                                                                                                  
C45        10nF             BottomLayer CN-SMD-0603          13.1709      68.8490      180      "CAP CER 10000PF 50V X7R 0603"                                                                                                                                               
SW1        SW               BottomLayer SW1-SMD              6.6818       29.2013      0        "Switch button 2 pin"                                                                                                                                                        
R25        20.5K            BottomLayer RES-SMD-0603         10.5559      82.4163      180      "RES 20.5K OHM 1% 1/10W 0603"                                                                                                                                                
R24        100K             BottomLayer RES-SMD-0603         6.5011       68.8216      180      "RES 100K OHM 1% 1/10W 0603"                                                                                                                                                 
R23        3.24k            BottomLayer RES-SMD-0603         7.4874       83.6144      90       "RES 3.24K OHM 1% 1/10W 0603"                                                                                                                                                
R22        10.2k            BottomLayer RES-SMD-0603         10.5559      84.3191      180      "RES 10.2K OHM 1% 1/10W 0603"                                                                                                                                                
R21        150K             BottomLayer RES-SMD-0603         9.7059       68.8287      180      "RES 150K OHM 1% 1/10W 0603"                                                                                                                                                 
R20        4K7              BottomLayer RES-SMD-0603         8.8354       20.5140      180      "RES SMD 4.7K OHM 1% 1/10W 0603"                                                                                                                                             
R19        4K7              BottomLayer RES-SMD-0603         8.8354       23.2976      180      "RES SMD 4.7K OHM 1% 1/10W 0603"                                                                                                                                             
R18        4K7              BottomLayer RES-SMD-0603         8.8354       17.5975      180      "RES SMD 4.7K OHM 1% 1/10W 0603"                                                                                                                                             
LED3       LED              BottomLayer LED-0603-RED         4.6040       20.5345      180      "LED RED CLEAR 0603 SMD"                                                                                                                                                     
LED2       LED              BottomLayer LED-0603-RED         4.6040       23.3181      180      "LED RED CLEAR 0603 SMD"                                                                                                                                                     
LED1       LED              BottomLayer LED-0603-RED         4.6040       17.6180      180      "LED RED CLEAR 0603 SMD"                                                                                                                                                     
L2         4.7uH            BottomLayer IND_AMDLA4020S-2R2MT 15.6530      81.6415      0        "FIXED IND 4.7UH 3A 70 MOHM SMD"                                                                                                                                             
C44        10uF/25V         BottomLayer CN-SMD-0603          13.1709      67.0757      180      "CAP CER 10UF 25V X5R 0603"                                                                                                                                                  
C43        100nF/25V        BottomLayer CN-SMD-0603          15.7674      74.6904      270      "CAP CER 0.1UF 25V X7R 0603"                                                                                                                                                 
C42        100nF/25V        BottomLayer CN-SMD-0603          25.6989      77.9990      180      "CAP CER 0.1UF 25V X7R 0603"                                                                                                                                                 
C41        10uF/25V         BottomLayer CN-SMD-0603          25.6989      76.1996      180      "CAP CER 10UF 25V X5R 0603"                                                                                                                                                  
C40        100nF/25V        BottomLayer CN-SMD-0603          17.0711      67.0757      0        "CAP CER 0.1UF 25V X7R 0603"                                                                                                                                                 
